year_month,Agriculture and Food Security,Defense and National Security,Economic and Industrial Policy,Education and Human Capital,Foreign Relations and Diplomacy,Infrastructure and Public Works,Labor and Employment,Public Health and Safety,Science and Technology,Social Policy and Ideology
2018-01,8.552631578947368,3.289473684210526,37.5,2.631578947368421,13.815789473684212,5.263157894736842,0.0,0.0,4.605263157894736,24.342105263157894
2018-02,6.508875739644971,5.9171597633136095,30.76923076923077,1.183431952662722,19.526627218934912,3.5502958579881656,0.0,1.7751479289940828,1.7751479289940828,28.994082840236686
2018-03,11.351351351351353,1.6216216216216217,38.91891891891892,1.6216216216216217,14.054054054054054,7.567567567567568,0.0,0.0,2.1621621621621623,22.702702702702705
2018-04,9.554140127388536,0.6369426751592357,28.662420382165603,1.910828025477707,27.388535031847134,6.369426751592357,0.0,0.6369426751592357,0.6369426751592357,24.203821656050955
2018-05,11.65644171779141,2.4539877300613497,41.104294478527606,1.2269938650306749,17.177914110429448,9.815950920245399,0.0,1.2269938650306749,1.2269938650306749,14.11042944785276
2018-06,9.868421052631579,1.9736842105263157,39.473684210526315,2.631578947368421,15.789473684210526,10.526315789473683,0.0,0.6578947368421052,1.9736842105263157,17.105263157894736
2018-07,12.903225806451612,0.0,37.41935483870968,0.0,9.032258064516128,9.032258064516128,0.6451612903225806,2.5806451612903225,1.2903225806451613,27.09677419354839
2018-08,10.06711409395973,0.6711409395973155,46.308724832214764,3.3557046979865772,10.738255033557047,9.395973154362416,0.0,0.6711409395973155,2.684563758389262,16.10738255033557
2018-09,7.18954248366013,1.9607843137254901,34.64052287581699,1.3071895424836601,26.143790849673206,9.15032679738562,0.0,0.0,1.3071895424836601,18.30065359477124
2018-10,10.7981220657277,0.0,41.31455399061033,2.8169014084507045,13.145539906103288,8.92018779342723,0.4694835680751174,1.4084507042253522,1.4084507042253522,19.718309859154928
2018-11,10.919540229885058,0.5747126436781609,40.229885057471265,0.5747126436781609,9.195402298850574,11.494252873563218,0.0,3.4482758620689653,2.8735632183908044,20.689655172413794
2018-12,12.903225806451612,4.301075268817205,35.483870967741936,2.1505376344086025,5.376344086021505,9.13978494623656,0.0,0.0,3.225806451612903,27.419354838709676
2019-01,8.552631578947368,2.631578947368421,32.89473684210527,1.9736842105263157,15.789473684210526,9.868421052631579,0.0,1.3157894736842104,1.9736842105263157,25.0
2019-02,8.670520231213873,4.624277456647398,21.965317919075144,2.8901734104046244,12.716763005780345,6.358381502890173,0.0,0.5780346820809248,4.046242774566474,38.15028901734104
2019-03,11.834319526627219,0.591715976331361,25.443786982248522,3.5502958579881656,13.017751479289942,10.650887573964498,0.0,0.591715976331361,1.7751479289940828,32.544378698224854
2019-04,12.037037037037036,4.62962962962963,22.22222222222222,0.0,17.59259259259259,9.25925925925926,0.0,0.9259259259259258,1.8518518518518516,31.48148148148148
2019-05,21.390374331550802,2.13903743315508,22.459893048128343,1.6042780748663104,15.508021390374333,13.903743315508022,0.0,0.0,3.2085561497326207,19.786096256684495
2019-06,16.666666666666664,0.641025641025641,23.717948717948715,1.282051282051282,13.461538461538462,10.897435897435898,0.0,0.0,2.564102564102564,30.76923076923077
